"","Species","Limb.Width","unitsW","Limb.Length","unitsL"
"1","lynx",-0.150087164606166,"cm",121.828845087838,"mm"
"2","rhino beetle",9.20363262870233,"mm",4.65353420455905,"cm"
"3","newt",7.67012978042374,"cm",71.1311351850768,"cm"
"4","parrot",1.8273206632398,"cm",148.155028526132,"cm"
"5","moose",17.720908392002,"mm",21.637642702189,"mm"
"6","aardvark",8.34388064679201,"cm",130.813689628972,"cm"
"7","leprechaun",19.7287442610436,"mm",47.982168502595,"mm"
"8","angelfish",27.1653397923374,"mm",55.7686199262573,"mm"
"9","human",12.5523700449567,"mm",40.0687188024056,"mm"
"10","black guillemot",13.6658112033064,"mm",229.457782880066,"cm"
